distribution,dataset_size,method,repeat,epsilon,PE_max,seed
d3,7000,CLiP-tuned,2,3.7,4.32,44
d3,7000,CLiP-tuned,3,3.9,7.26,45
d3,7000,CLiP-tuned,4,5.5,4.13,46
d3,7000,CLiP-tuned,5,6.1,5.63,42
d3,7000,CLiP-tuned,6,4.7,6.62,43
d3,7000,CLiP-tuned,7,5.2,5.08,44
d3,7000,CLiP-tuned,8,5.1,3.21,45
d3,7000,CLiP-tuned,9,6.6,5.29,46
d4,3000,Apple,0,10.0,4.15,42
d4,3000,Apple,1,10.0,22.89,43
d4,3000,Apple,2,10.0,17.66,44
d4,3000,Apple,3,10.0,1.07,45
d4,3000,Apple,4,10.0,19.51,46
d4,3000,Apple,5,10.0,21.04,42
d4,3000,Apple,6,10.0,5.99,43
d4,3000,Apple,7,10.0,4.15,44
d4,3000,Apple,8,10.0,12.75,45
d4,3000,Apple,9,10.0,2.61,46
d4,3000,CLiP-tuned,0,9.6,5.24,42
d4,3000,CLiP-tuned,1,9.9,5.99,43
d4,3000,CLiP-tuned,2,8.4,6.79,44
d4,3000,CLiP-tuned,3,9.9,4.15,45
d4,3000,CLiP-tuned,4,6.4,4.84,46
d4,3000,CLiP-tuned,5,9.6,4.93,42
d4,3000,CLiP-tuned,6,9.9,5.99,43
d4,3000,CLiP-tuned,7,8.5,6.48,44
d4,3000,CLiP-tuned,8,8.2,4.15,45
d4,3000,CLiP-tuned,9,7.9,5.82,46
d4,4000,Apple,0,10.0,5.15,42
d4,4000,Apple,1,10.0,22.89,43
d4,4000,Apple,2,10.0,17.82,44
d4,4000,Apple,3,10.0,4.81,45
d4,4000,Apple,4,10.0,5.15,46
d4,4000,Apple,5,10.0,7.68,42
d4,4000,Apple,6,10.0,5.15,43
d4,4000,Apple,7,10.0,2.61,44
d4,4000,Apple,8,10.0,4.99,45
d4,4000,Apple,9,10.0,15.13,46
d4,4000,CLiP-tuned,0,5.9,7.43,42
d4,4000,CLiP-tuned,1,10.0,2.61,43
d4,4000,CLiP-tuned,2,9.7,4.62,44
d4,4000,CLiP-tuned,3,7.3,4.07,45
d4,4000,CLiP-tuned,4,9.8,4.33,46
d4,4000,CLiP-tuned,5,9.8,6.85,42
d4,4000,CLiP-tuned,6,8.6,4.62,43
d4,4000,CLiP-tuned,7,8.4,4.21,44
d4,4000,CLiP-tuned,8,4.8,5.25,45
d4,4000,CLiP-tuned,9,5.7,5.93,46
d4,6000,Apple,0,10.0,12.59,42
d4,6000,Apple,1,10.0,4.15,43
d4,6000,Apple,2,10.0,5.84,44
d4,6000,Apple,3,10.0,26.11,45
d4,6000,Apple,4,10.0,9.37,46
d4,6000,Apple,5,10.0,5.84,42
d4,6000,Apple,6,10.0,21.04,43
d4,6000,Apple,7,10.0,0.92,44
d4,6000,Apple,8,10.0,15.97,45
d4,6000,Apple,9,10.0,2.55,46
d4,6000,CLiP-tuned,0,9.5,5.99,42
d4,6000,CLiP-tuned,1,8.3,4.02,43
d4,6000,CLiP-tuned,2,9.6,6.94,44
d4,6000,CLiP-tuned,3,9.9,5.85,45
d4,6000,CLiP-tuned,4,7.9,6.67,46
